transactionID,AccountOriginID,AccountDestinationID,TransactionTypeID,Amount,BranchID,Description,TransactionDate,,
3000010,200002,201174,3,1333.68,37,Transaction 10,12/3/22 6:00 AM,,
3000013,201406,201077,3,2069.79,2,Transaction 11,12/4/22 6:00 AM,,
3000026,201235,201545,2,2769.45,49,Transaction 12,12/5/22 6:00 AM,,
3000028,201494,201138,1,167.64,11,Transaction 13,12/6/22 6:00 AM,,
3000034,200404,200627,1,4326.56,40,Transaction 14,12/7/22 6:00 AM,,
3000038,201514,200676,2,2401.86,6,Transaction 15,12/8/22 6:00 AM,,
3000046,200106,200184,2,2450.36,23,Transaction 16,12/9/22 6:00 AM,,
3000050,200578,200843,3,291.35,45,Transaction 17,12/10/22 6:00 AM,,
3000052,200433,200931,1,4174.63,32,Transaction 18,12/11/22 6:00 AM,,
3000060,200266,200201,2,2352.89,27,Transaction 19,12/12/22 6:00 AM,,
3000079,201254,200079,4,4360.68,29,Transaction 20,12/13/22 6:00 AM,,
3000080,201058,200465,1,1622.71,8,Transaction 21,12/14/22 6:00 AM,,
3000081,200617,200234,1,4042.02,37,Transaction 22,12/15/22 6:00 AM,,
3000083,200846,201494,4,2002.9,17,Transaction 23,12/16/22 6:00 AM,,
3000088,200502,200652,2,2130.49,39,Transaction 24,12/17/22 6:00 AM,,
3000094,201223,200802,1,4778.04,12,Transaction 25,12/18/22 6:00 AM,,
3000101,200346,200845,1,1995.36,39,Transaction 26,12/19/22 6:00 AM,,
3000146,201527,200601,1,1851.26,16,Transaction 27,12/20/22 6:00 AM,,
3000181,201394,200153,2,563,5,Transaction 28,12/21/22 6:00 AM,,
3000199,200911,200009,2,220.47,46,Transaction 29,12/22/22 6:00 AM,,
3000211,201264,200722,2,760.51,46,Transaction 30,12/23/22 6:00 AM,,
3000215,200475,200561,4,3523.49,42,Transaction 31,12/24/22 6:00 AM,,
3000217,200410,201106,4,1811.55,50,Transaction 32,12/25/22 6:00 AM,,
3000242,200812,200753,4,1163.23,21,Transaction 33,12/26/22 6:00 AM,,
3000252,200279,200796,3,4795.72,37,Transaction 34,12/27/22 6:00 AM,,
3000261,201449,200738,2,4737.2,3,Transaction 35,12/28/22 6:00 AM,,
3000262,201288,200601,1,1882.94,18,Transaction 36,12/29/22 6:00 AM,,
3000264,201456,200248,3,2682.72,9,Transaction 37,12/30/22 6:00 AM,,
3000274,201131,200940,1,3013.6,5,Transaction 38,12/31/22 6:00 AM,,
3000277,201438,200293,2,2252.4,22,Transaction 39,1/1/23 6:00 AM,,
3000282,200498,200651,1,1993.44,33,Transaction 40,1/2/23 6:00 AM,,
3000287,200111,200703,2,4504.88,11,Transaction 41,1/3/23 6:00 AM,,
3000298,201355,200927,1,2272.72,23,Transaction 42,1/4/23 6:00 AM,,
3000328,201273,201525,3,47.91,22,Transaction 43,1/5/23 6:00 AM,,
3000330,200266,200149,3,651.07,33,Transaction 44,1/6/23 6:00 AM,,
3000341,200516,201606,3,2978.72,26,Transaction 45,1/7/23 6:00 AM,,
3000343,200426,200689,3,4771.3,49,Transaction 46,1/8/23 6:00 AM,,
3000349,200766,201343,1,1270.48,28,Transaction 47,1/9/23 6:00 AM,,
3000370,200422,200609,1,1295.45,18,Transaction 48,1/10/23 6:00 AM,,
3000374,201095,201272,2,2659.34,47,Transaction 49,1/11/23 6:00 AM,,
3000380,200802,200411,4,1114.85,15,Transaction 50,1/12/23 6:00 AM,,
3000386,201336,201517,3,2594.23,3,Transaction 51,1/13/23 6:00 AM,,
3000392,200573,200301,1,2187.8,36,Transaction 52,1/14/23 6:00 AM,,
3000396,200384,201011,1,1753.23,46,Transaction 53,1/15/23 6:00 AM,,
3000413,200582,200398,1,3120.15,4,Transaction 54,1/16/23 6:00 AM,,
3000416,200678,200273,3,2516.16,25,Transaction 55,1/17/23 6:00 AM,,
3000432,201011,201014,1,2659.13,36,Transaction 56,1/18/23 6:00 AM,,
3000435,201415,201120,2,3431.19,26,Transaction 57,1/19/23 6:00 AM,,
3000442,201503,201268,3,2488.63,2,Transaction 58,1/20/23 6:00 AM,,
3000444,200960,200259,3,1575.08,24,Transaction 59,1/21/23 6:00 AM,,
3000450,200094,201251,3,1398.93,47,Transaction 60,1/22/23 6:00 AM,,
3000452,201022,200288,3,106.44,30,Transaction 61,1/23/23 6:00 AM,,
3000453,201280,201605,3,302.35,31,Transaction 62,1/24/23 6:00 AM,,
3000456,201470,200275,3,3909.31,33,Transaction 63,1/25/23 6:00 AM,,
3000468,201033,200533,3,480.61,19,Transaction 64,1/26/23 6:00 AM,,
3000469,201253,200213,2,2500.03,6,Transaction 65,1/27/23 6:00 AM,,
3000471,201348,201063,4,1044.59,17,Transaction 66,1/28/23 6:00 AM,,
3000478,200841,201046,2,151.21,33,Transaction 67,1/29/23 6:00 AM,,
3000486,200405,201280,3,3985.52,28,Transaction 68,1/30/23 6:00 AM,,
3000492,200547,201221,2,1496.53,7,Transaction 69,1/31/23 6:00 AM,,
3000501,200883,200306,2,1146.69,9,Transaction 70,2/1/23 6:00 AM,,
3000506,200746,201567,2,4986.16,2,Transaction 71,2/2/23 6:00 AM,,
3000514,200825,200767,1,3254.58,22,Transaction 72,2/3/23 6:00 AM,,
3000518,201505,200050,1,4561.39,39,Transaction 73,2/4/23 6:00 AM,,
3000519,201316,201581,2,3387.77,27,Transaction 74,2/5/23 6:00 AM,,
3000527,201063,201515,1,4193.67,12,Transaction 75,2/6/23 6:00 AM,,
3000528,201627,200750,2,533.14,17,Transaction 76,2/7/23 6:00 AM,,
3000539,200656,200817,4,2484.71,7,Transaction 77,2/8/23 6:00 AM,,
3000542,200320,200235,2,2547.6,43,Transaction 78,2/9/23 6:00 AM,,
3000551,200848,200767,2,3865.46,38,Transaction 79,2/10/23 6:00 AM,,
3000558,200268,200098,3,4585.98,27,Transaction 80,2/11/23 6:00 AM,,
3000568,200653,201015,2,1913.25,30,Transaction 81,2/12/23 6:00 AM,,
3000573,201062,201181,3,712.48,39,Transaction 82,2/13/23 6:00 AM,,
3000595,201208,201302,3,2607.38,7,Transaction 83,2/14/23 6:00 AM,,
3000617,200937,200959,3,2767.35,38,Transaction 84,2/15/23 6:00 AM,,
3000628,200686,200932,3,3823.85,3,Transaction 85,2/16/23 6:00 AM,,
3000643,200970,201079,3,3361.14,8,Transaction 86,2/17/23 6:00 AM,,
3000646,200290,201434,3,1691.63,29,Transaction 87,2/18/23 6:00 AM,,
3000663,200217,201430,1,950.19,9,Transaction 88,2/19/23 6:00 AM,,
3000665,201431,201209,2,4971.05,36,Transaction 89,2/20/23 6:00 AM,,
3000689,201624,200200,3,4407.26,17,Transaction 90,2/21/23 6:00 AM,,
3000693,201193,201365,2,1534.22,9,Transaction 91,2/22/23 6:00 AM,,
3000715,200870,201212,2,65.03,37,Transaction 92,11/21/17 3:00 PM,,
3000717,200620,200459,3,2665.96,37,Transaction 93,11/22/17 3:00 PM,,
3000720,200126,200434,4,1227.24,26,Transaction 94,11/23/17 3:00 PM,,
3000732,200609,200510,4,3990.67,46,Transaction 95,11/24/17 3:00 PM,,
3000739,201123,201278,2,91.73,9,Transaction 96,11/25/17 3:00 PM,,
3000740,200609,200562,1,4588.5,3,Transaction 97,11/26/17 3:00 PM,,
3000754,200460,201504,4,2250.98,13,Transaction 98,11/27/17 3:00 PM,,
